Date,Day_of_the_week,App,Minutes,Category
8/29,Thursday,TIKTOK,37,Entertainment
8/29,Thursday,SNAPCHAT,29,Social Media
8/29,Tuesday,INSTAGRAM,29,Social Media
8/29,Tuesday,SPOTIFY,11,Other
8/30,Wednesday,INSTAGRAM,29,Social Media
8/30,Wednesday,SNAPCHAT,29,Social Media
8/30,Wednesday,MAPS,21,Travel
8/30,Wednesday,TIKTOK,21,Entertainment
8/31,Thursday,TIKTOK,36,Entertainment
8/31,Thursday,SNAPCHAT,27,Social Media
8/31,Thursday,INSTAGRAM,26,Social Media
8/31,Thursday,YOUTUBE,17,Entertainment
9/1,Friday,SNAPCHAT,92,Social Media
9/1,Friday,INSTAGRAM,63,Social Media
9/1,Friday,CAMERA,9,Other
9/1,Friday,TIKTOK,9,Entertainment
9/2,Saturday,SNAPCHAT,112,Social Media
9/2,Saturday,INSTAGRAM,38,Social Media
9/2,Saturday,TIKTOK,15,Entertainment
9/2,Saturday,GMAIL,7,Other
9/3,Sunday,SNAPCHAT,36,Social Media
9/3,Sunday,INSTAGRAM,19,Social Media
9/3,Sunday,TIKTOK,18,Entertainment
9/3,Sunday,SPOTIFY,9,Entertainment
9/4,Monday,SNAPCHAT,65,Social Media
9/4,Monday,INSTAGRAM,22,Social Media
9/4,Monday,TIKTOK,9,Entertainment
9/4,Monday,SAFARI,3,Other